Location,Type,Sample ID,FINAL mg C/L,Dissolved oxygen (DO),Temperature (°C),Luminescent dissolved oxygen (LDO),pH,Conductivity,Redox,Chlorophyll
De Bourgoyen,Natural,Bourgoyen Mid 1,24.26443333,104.3,19.9,9.56,7.68,323,188.4,20.66
De Bourgoyen,Natural,Bourgoyen Mid 2,29.55443333,87.2,19.5,8.08,7.68,323,188.3,20.66
De Bourgoyen,Natural,Bourgoyen Bot 1,109.1644333,83.2,19.4,8.16,7.68,323,188.7,20.66
De Bourgoyen,Natural,Bourgoyen Bot 2,105.8644333,83.2,19.4,8.16,7.68,323,188.7,20.66
Donk-Oudenaarde,Natural,Donk Top 1,77.30443333,150.5,21.3,13.22,7.93,328,158.3,9.547
Donk-Oudenaarde,Natural,Donk Top 2,77.39443333,148.5,21.2,13.07,7.93,328,158.4,9.598
Donk-Oudenaarde,Natural,Donk Top 3,64.88443333,153,21.3,13.44,7.93,328,157.7,10.55
Donk-Oudenaarde,Natural,Donk Mid 1,53.00443333,150.5,21.2,13.25,7.93,328,153.1,10.55
Donk-Oudenaarde,Natural,Donk Mid 2,101.3644333,151.3,21.3,13.28,7.93,328,149.5,10.55
Donk-Oudenaarde,Natural,Donk Mid 3,46.0374,151.1,21.2,13.27,7.93,328,150.2,10.55
St. Donatus P. ,Urban,St. Donatus Park Top 1,91.18443333,115.2,21.6,10.1,6.53,609,164.4,
St. Donatus P. ,Urban,St. Donatus Park Top 2,86.59443333,114.5,21.3,10.1,6.52,612,165.7,
St. Donatus P. ,Urban,St. Donatus Park Top 3,42.12443333,117.6,21.3,10.36,6.53,619,167,
St. Donatus P. ,Urban,St. Donatus Park Mid 1,19.0674,108.7,21,9.63,6.53,620,163.4,
St. Donatus P. ,Urban,St. Donatus Park Mid 2,89.90443333,110.3,21,9.77,6.53,620,163.1,
St. Donatus P. ,Urban,St. Donatus Park Mid 3,44.75443333,109.8,21.1,9.72,6.53,623,161.8,
LRV,Natural,LRV,,10.7,17.8,,7.74,467,168.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.74,468,164.4,5.3
LRV,Natural,LRV,,10.7,17.8,,7.75,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.75,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.76,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.76,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.76,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.76,445,166.8,5.3
LRV,Natural,LRV,,10.7,17.8,,7.76,445,166.8,5.3
